Scam_ID,Target_Industry,Attack_Method,Deepfake_Type,Loss_Amount_USD,Detection_Time_Hours,Detection_Tool,Geographic_Origin,Payload_Type,Employee_Role_Targeted,Prevention_Measures,Legal_Action_Taken
SC-1216,Tech,Synthetic ID,Video,464066,0.8,Human Review,China,Phishing Link,Customer Support,Training,Lawsuit Pending
SC-1217,Government,Voice Cloning,Video,191872,4.8,Human Review,Russia,Phishing Link,CFO,2FA,Lawsuit Pending
SC-1218,Healthcare,Synthetic ID,Video,196800,9.3,Victim Report,Russia,Fake Credentials,HR,Training,Yes (Arrest)
SC-1219,Banking,Synthetic ID,Image,55150,11.5,Human Review,Nigeria,Fake Credentials,IT Admin,2FA,Yes (Arrest)
SC-1220,Retail,Voice Cloning,Hybrid,166252,16.5,Human Review,Iran,Urgent Wire Request,HR,AI Monitoring,No
SC-1221,Healthcare,Voice Cloning,Audio,328136,11.6,Victim Report,North Korea,Fake Credentials,Customer Support,AI Monitoring,No
SC-1222,Tech,CEO Fraud,Audio,25183,23.3,AI Scanner,China,Urgent Wire Request,Customer Support,Training,Yes (Arrest)
SC-1223,Healthcare,Synthetic ID,Hybrid,432337,2.7,Human Review,Iran,Urgent Wire Request,HR,AI Monitoring,Lawsuit Pending
SC-1224,Government,Voice Cloning,Hybrid,89461,22.6,Human Review,North Korea,Fake Invoice,CFO,None,Yes (Arrest)
SC-1225,Healthcare,Fake Video Call,Image,348434,3.4,Human Review,Russia,Urgent Wire Request,Customer Support,AI Monitoring,Yes (Arrest)
SC-1226,Tech,Fake Video Call,Image,471916,23.3,AI Scanner,North Korea,Phishing Link,CFO,2FA,No
SC-1227,Healthcare,Voice Cloning,Audio,118719,22.8,Internal Audit,Russia,Urgent Wire Request,Customer Support,Training,Yes (Arrest)
SC-1228,Banking,Synthetic ID,Audio,456398,8.7,Human Review,Nigeria,Urgent Wire Request,CFO,Training,No
SC-1229,Retail,Fake Video Call,Hybrid,59880,14.0,Human Review,North Korea,Fake Invoice,IT Admin,AI Monitoring,Lawsuit Pending
SC-1230,Healthcare,Fake Video Call,Video,201039,3.5,Human Review,Nigeria,Phishing Link,HR,2FA,No
SC-1231,Retail,Fake Video Call,Hybrid,382204,10.8,AI Scanner,Nigeria,Phishing Link,HR,2FA,No
SC-1232,Banking,Fake Video Call,Image,345724,20.8,Internal Audit,North Korea,Fake Invoice,CFO,2FA,No
SC-1233,Retail,Voice Cloning,Video,231172,17.2,AI Scanner,Russia,Fake Credentials,CFO,None,Yes (Arrest)
SC-1234,Banking,Synthetic ID,Audio,294802,4.9,AI Scanner,Iran,Fake Credentials,IT Admin,AI Monitoring,Lawsuit Pending
SC-1235,Healthcare,Voice Cloning,Video,460216,22.1,AI Scanner,North Korea,Urgent Wire Request,Customer Support,AI Monitoring,No
SC-1236,Government,Fake Video Call,Image,104505,18.6,Internal Audit,China,Fake Invoice,CFO,2FA,No
SC-1237,Healthcare,Synthetic ID,Image,333055,9.8,Human Review,North Korea,Fake Invoice,Customer Support,Training,Yes (Arrest)
SC-1238,Retail,Voice Cloning,Audio,383689,17.8,AI Scanner,North Korea,Urgent Wire Request,Customer Support,2FA,No
SC-1239,Government,Voice Cloning,Video,470294,13.6,Internal Audit,Nigeria,Phishing Link,IT Admin,None,No
SC-1240,Retail,Voice Cloning,Image,323134,16.6,Human Review,China,Urgent Wire Request,HR,2FA,Yes (Arrest)
SC-1241,Government,Fake Video Call,Video,169686,13.7,Internal Audit,Nigeria,Fake Invoice,IT Admin,AI Monitoring,Lawsuit Pending
SC-1242,Banking,CEO Fraud,Hybrid,308959,18.7,Victim Report,Iran,Urgent Wire Request,IT Admin,AI Monitoring,Lawsuit Pending
SC-1243,Tech,Voice Cloning,Video,142935,2.7,Victim Report,China,Urgent Wire Request,HR,2FA,No
SC-1244,Government,Voice Cloning,Audio,126384,18.0,AI Scanner,North Korea,Fake Invoice,IT Admin,Training,Yes (Arrest)
SC-1245,Banking,Voice Cloning,Image,375140,6.1,Victim Report,North Korea,Fake Invoice,Customer Support,None,Lawsuit Pending
SC-1246,Tech,Voice Cloning,Image,384185,18.4,AI Scanner,North Korea,Urgent Wire Request,HR,AI Monitoring,Yes (Arrest)
SC-1247,Retail,Voice Cloning,Video,103126,12.1,Internal Audit,Iran,Urgent Wire Request,HR,AI Monitoring,No
SC-1248,Government,CEO Fraud,Hybrid,128865,1.0,Internal Audit,North Korea,Urgent Wire Request,HR,2FA,Yes (Arrest)
SC-1249,Tech,Fake Video Call,Video,255666,2.4,Human Review,Russia,Fake Credentials,CFO,None,Yes (Arrest)
SC-1250,Tech,Fake Video Call,Image,203857,3.9,Human Review,North Korea,Fake Credentials,Customer Support,2FA,No
SC-1251,Banking,Synthetic ID,Hybrid,203129,19.3,AI Scanner,China,Fake Credentials,IT Admin,Training,Yes (Arrest)
SC-1252,Government,Synthetic ID,Hybrid,198610,13.0,Victim Report,Nigeria,Phishing Link,IT Admin,None,Lawsuit Pending
SC-1253,Government,Synthetic ID,Audio,266091,4.1,Victim Report,Iran,Fake Credentials,HR,Training,No
SC-1254,Government,Voice Cloning,Video,29276,14.4,AI Scanner,North Korea,Fake Credentials,Customer Support,None,Yes (Arrest)
SC-1255,Government,Voice Cloning,Video,220646,3.1,AI Scanner,China,Fake Credentials,IT Admin,AI Monitoring,Lawsuit Pending
SC-1256,Retail,Fake Video Call,Video,416205,16.4,Human Review,North Korea,Phishing Link,CFO,AI Monitoring,No
SC-1257,Healthcare,Synthetic ID,Hybrid,344463,4.1,AI Scanner,Russia,Phishing Link,HR,None,Yes (Arrest)
SC-1258,Healthcare,CEO Fraud,Image,52680,18.1,Victim Report,Russia,Phishing Link,CFO,Training,Lawsuit Pending
SC-1259,Tech,CEO Fraud,Hybrid,235888,2.5,Victim Report,Russia,Urgent Wire Request,HR,AI Monitoring,No
SC-1260,Healthcare,Voice Cloning,Hybrid,20830,6.5,Victim Report,North Korea,Urgent Wire Request,HR,Training,No
SC-1261,Banking,CEO Fraud,Hybrid,149047,4.5,Victim Report,China,Fake Invoice,CFO,AI Monitoring,Lawsuit Pending
SC-1262,Banking,Voice Cloning,Video,482211,4.8,Victim Report,Nigeria,Fake Credentials,IT Admin,2FA,No
SC-1263,Banking,Fake Video Call,Video,454292,15.2,AI Scanner,Russia,Urgent Wire Request,IT Admin,2FA,No
SC-1264,Banking,Fake Video Call,Audio,338550,14.7,Human Review,China,Urgent Wire Request,HR,2FA,No
SC-1265,Tech,Synthetic ID,Audio,254259,1.1,Human Review,Russia,Fake Credentials,Customer Support,None,No
SC-1266,Banking,Synthetic ID,Video,126793,15.5,Internal Audit,China,Fake Invoice,CFO,None,No
SC-1267,Tech,CEO Fraud,Hybrid,446059,9.1,Internal Audit,North Korea,Fake Invoice,CFO,2FA,Lawsuit Pending
SC-1268,Healthcare,Fake Video Call,Hybrid,19222,20.9,Victim Report,Iran,Fake Invoice,IT Admin,None,Lawsuit Pending
SC-1269,Banking,Fake Video Call,Hybrid,138387,12.2,Human Review,North Korea,Fake Credentials,Customer Support,Training,Yes (Arrest)
SC-1270,Healthcare,Fake Video Call,Video,84629,18.1,Victim Report,Iran,Phishing Link,HR,2FA,Yes (Arrest)
SC-1271,Healthcare,Synthetic ID,Audio,200405,0.3,Internal Audit,Iran,Urgent Wire Request,Customer Support,None,Lawsuit Pending
SC-1272,Tech,CEO Fraud,Video,15009,18.3,Victim Report,Iran,Fake Invoice,CFO,AI Monitoring,No
SC-1273,Retail,Synthetic ID,Image,210390,5.1,AI Scanner,Iran,Urgent Wire Request,CFO,Training,Yes (Arrest)
SC-1274,Banking,Fake Video Call,Hybrid,323660,11.6,Internal Audit,China,Fake Invoice,Customer Support,None,No
SC-1275,Banking,Synthetic ID,Hybrid,421409,2.8,Internal Audit,North Korea,Urgent Wire Request,Customer Support,None,Yes (Arrest)
SC-1276,Healthcare,Voice Cloning,Image,28933,7.5,Human Review,China,Fake Invoice,IT Admin,2FA,Lawsuit Pending
SC-1277,Retail,CEO Fraud,Hybrid,358529,11.5,AI Scanner,Russia,Fake Invoice,Customer Support,2FA,Yes (Arrest)
SC-1278,Banking,Voice Cloning,Image,58315,18.1,Victim Report,Iran,Urgent Wire Request,CFO,Training,No
SC-1279,Healthcare,CEO Fraud,Hybrid,368168,4.7,Human Review,Nigeria,Urgent Wire Request,Customer Support,2FA,Yes (Arrest)
SC-1280,Tech,Fake Video Call,Video,167493,13.0,Victim Report,China,Fake Invoice,Customer Support,AI Monitoring,Yes (Arrest)
SC-1281,Healthcare,Voice Cloning,Hybrid,354987,4.3,Human Review,Russia,Fake Invoice,CFO,None,No
SC-1282,Government,Voice Cloning,Image,120052,11.2,Victim Report,Iran,Phishing Link,IT Admin,None,Yes (Arrest)
SC-1283,Tech,Fake Video Call,Image,443593,12.2,Victim Report,China,Fake Invoice,IT Admin,Training,No
SC-1284,Tech,CEO Fraud,Audio,407407,16.6,AI Scanner,Nigeria,Fake Invoice,IT Admin,None,No
SC-1285,Healthcare,Fake Video Call,Image,143949,2.1,Internal Audit,Russia,Phishing Link,IT Admin,Training,Lawsuit Pending
SC-1286,Retail,CEO Fraud,Video,239518,2.8,Human Review,China,Fake Invoice,HR,Training,Yes (Arrest)
SC-1287,Tech,CEO Fraud,Image,401187,5.5,Human Review,Nigeria,Urgent Wire Request,CFO,AI Monitoring,Yes (Arrest)
SC-1288,Retail,CEO Fraud,Audio,114726,0.2,Internal Audit,North Korea,Fake Credentials,Customer Support,Training,Yes (Arrest)
SC-1289,Retail,Synthetic ID,Hybrid,389160,12.9,Human Review,Russia,Phishing Link,CFO,AI Monitoring,Yes (Arrest)
SC-1290,Healthcare,Synthetic ID,Video,11090,11.4,Human Review,Russia,Urgent Wire Request,Customer Support,None,No
SC-1291,Banking,Voice Cloning,Image,187228,16.4,Internal Audit,Iran,Phishing Link,HR,AI Monitoring,Lawsuit Pending
SC-1292,Banking,Fake Video Call,Audio,448109,3.6,Human Review,North Korea,Fake Invoice,IT Admin,Training,Yes (Arrest)
SC-1293,Healthcare,CEO Fraud,Hybrid,499084,9.2,Internal Audit,Russia,Urgent Wire Request,CFO,Training,No
SC-1294,Healthcare,CEO Fraud,Video,20742,7.0,AI Scanner,Nigeria,Fake Invoice,HR,2FA,Lawsuit Pending
SC-1295,Banking,Synthetic ID,Hybrid,459475,2.1,AI Scanner,North Korea,Fake Invoice,Customer Support,None,Lawsuit Pending
SC-1296,Retail,Synthetic ID,Hybrid,474512,10.3,AI Scanner,Nigeria,Urgent Wire Request,CFO,Training,Lawsuit Pending
SC-1297,Government,Fake Video Call,Audio,382566,6.7,Internal Audit,North Korea,Urgent Wire Request,IT Admin,None,Yes (Arrest)
SC-1298,Retail,Synthetic ID,Image,495868,18.0,AI Scanner,Nigeria,Fake Credentials,CFO,Training,Lawsuit Pending
SC-1299,Healthcare,Fake Video Call,Hybrid,29705,22.4,Internal Audit,Nigeria,Fake Invoice,Customer Support,AI Monitoring,Yes (Arrest)
SC-1300,Retail,Synthetic ID,Image,192024,6.4,Human Review,Nigeria,Urgent Wire Request,CFO,Training,No
SC-1301,Banking,Synthetic ID,Hybrid,228186,1.7,Human Review,Iran,Phishing Link,CFO,None,Lawsuit Pending
SC-1302,Tech,CEO Fraud,Image,227783,20.3,AI Scanner,China,Fake Credentials,HR,2FA,No
SC-1303,Government,Fake Video Call,Image,345513,22.7,Internal Audit,China,Urgent Wire Request,Customer Support,None,Lawsuit Pending
SC-1304,Retail,Synthetic ID,Image,355786,13.6,Victim Report,Nigeria,Fake Credentials,IT Admin,Training,No
SC-1305,Banking,Synthetic ID,Hybrid,425025,9.6,AI Scanner,North Korea,Fake Credentials,CFO,2FA,Lawsuit Pending
SC-1306,Government,CEO Fraud,Audio,492088,5.8,AI Scanner,China,Fake Credentials,Customer Support,2FA,No
SC-1307,Government,CEO Fraud,Hybrid,261639,6.8,Human Review,Russia,Phishing Link,Customer Support,None,Lawsuit Pending
SC-1308,Healthcare,Voice Cloning,Audio,449562,21.5,Victim Report,North Korea,Phishing Link,HR,2FA,Yes (Arrest)
SC-1309,Government,Fake Video Call,Hybrid,241506,19.0,Victim Report,Iran,Fake Credentials,IT Admin,AI Monitoring,No
SC-1310,Tech,Voice Cloning,Hybrid,289641,17.6,Human Review,Iran,Phishing Link,CFO,2FA,Yes (Arrest)
SC-1311,Retail,Fake Video Call,Image,397258,7.1,Victim Report,China,Fake Invoice,Customer Support,AI Monitoring,Yes (Arrest)
SC-1312,Healthcare,Synthetic ID,Video,405579,6.3,Victim Report,Nigeria,Urgent Wire Request,Customer Support,2FA,Yes (Arrest)
SC-1313,Banking,Synthetic ID,Hybrid,93307,2.8,AI Scanner,North Korea,Fake Credentials,IT Admin,Training,No
SC-1314,Retail,Fake Video Call,Image,458152,14.3,Victim Report,Russia,Phishing Link,Customer Support,None,Yes (Arrest)
SC-1315,Government,Fake Video Call,Audio,268537,16.4,Internal Audit,China,Fake Credentials,HR,Training,No
SC-1316,Retail,CEO Fraud,Audio,100668,20.2,Victim Report,North Korea,Urgent Wire Request,HR,AI Monitoring,No
SC-1317,Retail,Synthetic ID,Video,263908,14.2,Victim Report,China,Fake Invoice,Customer Support,Training,No
SC-1318,Retail,CEO Fraud,Audio,132974,10.1,AI Scanner,Russia,Fake Invoice,HR,AI Monitoring,No
SC-1319,Banking,CEO Fraud,Image,471777,15.6,Victim Report,North Korea,Phishing Link,IT Admin,AI Monitoring,Yes (Arrest)
SC-1320,Banking,Fake Video Call,Image,157042,23.5,AI Scanner,Russia,Urgent Wire Request,IT Admin,None,No
SC-1321,Tech,CEO Fraud,Hybrid,439173,12.9,Human Review,China,Urgent Wire Request,CFO,2FA,Yes (Arrest)
SC-1322,Government,Synthetic ID,Video,434997,17.7,Victim Report,China,Fake Credentials,CFO,Training,Yes (Arrest)
SC-1323,Tech,CEO Fraud,Image,138714,16.8,Victim Report,North Korea,Phishing Link,IT Admin,None,Yes (Arrest)
SC-1324,Healthcare,Fake Video Call,Audio,439024,21.1,Human Review,Nigeria,Phishing Link,IT Admin,2FA,Lawsuit Pending
SC-1325,Government,Synthetic ID,Image,309925,20.6,AI Scanner,Iran,Phishing Link,HR,2FA,Yes (Arrest)
SC-1326,Retail,Voice Cloning,Audio,379640,10.2,Victim Report,North Korea,Phishing Link,CFO,AI Monitoring,Yes (Arrest)
SC-1327,Healthcare,Voice Cloning,Audio,10279,12.1,Human Review,Iran,Urgent Wire Request,IT Admin,Training,Yes (Arrest)
SC-1328,Government,CEO Fraud,Audio,339273,2.1,Internal Audit,Nigeria,Urgent Wire Request,Customer Support,2FA,No
SC-1329,Healthcare,Voice Cloning,Image,112387,21.8,Human Review,Russia,Phishing Link,CFO,2FA,No
SC-1330,Retail,CEO Fraud,Hybrid,104080,10.3,Victim Report,China,Fake Invoice,HR,AI Monitoring,No
SC-1331,Banking,Synthetic ID,Video,397088,0.1,Human Review,Nigeria,Fake Credentials,IT Admin,AI Monitoring,Lawsuit Pending
SC-1332,Banking,Fake Video Call,Video,213091,16.5,Victim Report,Russia,Fake Invoice,Customer Support,2FA,Lawsuit Pending
SC-1333,Tech,Synthetic ID,Image,101381,20.8,Human Review,China,Phishing Link,CFO,2FA,Yes (Arrest)
SC-1334,Retail,Synthetic ID,Hybrid,86047,7.4,Human Review,Russia,Phishing Link,Customer Support,AI Monitoring,Lawsuit Pending
SC-1335,Banking,Synthetic ID,Audio,327302,6.2,Human Review,Nigeria,Fake Credentials,CFO,None,No
SC-1336,Healthcare,CEO Fraud,Image,468320,20.4,Victim Report,Russia,Fake Credentials,IT Admin,Training,Lawsuit Pending
SC-1337,Tech,Fake Video Call,Hybrid,370427,3.8,AI Scanner,Iran,Phishing Link,HR,AI Monitoring,Lawsuit Pending
SC-1338,Banking,Synthetic ID,Audio,323481,0.5,Victim Report,China,Phishing Link,HR,AI Monitoring,No
SC-1339,Tech,Synthetic ID,Image,185594,19.8,Internal Audit,Nigeria,Fake Credentials,IT Admin,Training,Yes (Arrest)
SC-1340,Banking,CEO Fraud,Hybrid,3325,22.2,Internal Audit,Iran,Fake Invoice,IT Admin,2FA,Yes (Arrest)
SC-1341,Government,Voice Cloning,Hybrid,267635,18.9,Human Review,China,Fake Credentials,CFO,None,Yes (Arrest)
SC-1342,Government,Fake Video Call,Image,93657,15.6,Human Review,North Korea,Fake Invoice,HR,2FA,Lawsuit Pending
SC-1343,Tech,Fake Video Call,Video,67716,14.8,AI Scanner,North Korea,Urgent Wire Request,CFO,Training,Yes (Arrest)
SC-1344,Retail,CEO Fraud,Video,115808,6.5,Victim Report,Russia,Fake Invoice,HR,None,Lawsuit Pending
SC-1345,Retail,Synthetic ID,Image,9523,7.8,Internal Audit,Nigeria,Urgent Wire Request,CFO,Training,Yes (Arrest)
SC-1346,Retail,Voice Cloning,Video,403551,8.5,Human Review,Iran,Phishing Link,CFO,2FA,Lawsuit Pending
SC-1347,Retail,Fake Video Call,Hybrid,96682,0.3,Victim Report,China,Fake Invoice,IT Admin,2FA,No
SC-1348,Tech,Synthetic ID,Audio,463585,23.4,Internal Audit,China,Fake Invoice,HR,None,Yes (Arrest)
SC-1349,Government,Voice Cloning,Image,235791,21.4,AI Scanner,Nigeria,Fake Credentials,Customer Support,AI Monitoring,Lawsuit Pending
SC-1350,Retail,Voice Cloning,Image,26601,21.3,Internal Audit,Russia,Phishing Link,HR,Training,Lawsuit Pending
SC-1351,Banking,Synthetic ID,Video,325968,17.5,Victim Report,Nigeria,Urgent Wire Request,IT Admin,None,No
SC-1352,Banking,CEO Fraud,Video,369428,21.8,AI Scanner,Nigeria,Fake Invoice,HR,2FA,Lawsuit Pending
SC-1353,Government,Synthetic ID,Audio,241238,5.0,AI Scanner,Iran,Urgent Wire Request,Customer Support,Training,Yes (Arrest)
SC-1354,Government,CEO Fraud,Hybrid,59639,9.0,Human Review,China,Phishing Link,CFO,2FA,Yes (Arrest)
SC-1355,Healthcare,CEO Fraud,Hybrid,52906,7.4,Human Review,Iran,Phishing Link,Customer Support,None,Yes (Arrest)
SC-1356,Tech,Voice Cloning,Audio,482383,6.2,AI Scanner,Iran,Phishing Link,Customer Support,AI Monitoring,Yes (Arrest)
SC-1357,Retail,Voice Cloning,Audio,497370,6.8,Victim Report,Russia,Fake Invoice,HR,2FA,Lawsuit Pending
SC-1358,Healthcare,Fake Video Call,Audio,30652,20.7,AI Scanner,Russia,Phishing Link,CFO,Training,Yes (Arrest)
SC-1359,Banking,Synthetic ID,Audio,194939,19.2,Internal Audit,North Korea,Phishing Link,CFO,None,Yes (Arrest)
SC-1360,Retail,Fake Video Call,Audio,238838,17.4,Victim Report,China,Fake Credentials,Customer Support,None,Lawsuit Pending
SC-1361,Government,Voice Cloning,Audio,121496,19.4,Victim Report,Russia,Fake Credentials,IT Admin,None,No
SC-1362,Tech,CEO Fraud,Hybrid,462045,10.2,AI Scanner,Nigeria,Urgent Wire Request,IT Admin,Training,Yes (Arrest)
SC-1363,Banking,CEO Fraud,Hybrid,438427,22.6,Internal Audit,China,Urgent Wire Request,Customer Support,None,Yes (Arrest)
SC-1364,Banking,Fake Video Call,Video,468265,20.7,Internal Audit,Russia,Fake Credentials,Customer Support,Training,No
SC-1365,Government,Synthetic ID,Image,270414,16.0,Human Review,China,Fake Credentials,CFO,Training,Lawsuit Pending
SC-1366,Banking,CEO Fraud,Image,408187,21.6,Victim Report,Russia,Phishing Link,IT Admin,AI Monitoring,Lawsuit Pending
SC-1367,Healthcare,Voice Cloning,Hybrid,174862,12.0,Human Review,China,Urgent Wire Request,IT Admin,Training,No
SC-1368,Tech,Fake Video Call,Hybrid,29272,2.4,Internal Audit,Iran,Fake Invoice,IT Admin,AI Monitoring,Yes (Arrest)
SC-1369,Retail,Voice Cloning,Audio,251103,10.8,Human Review,China,Phishing Link,CFO,Training,No
SC-1370,Tech,Synthetic ID,Audio,435964,23.9,Human Review,Iran,Phishing Link,Customer Support,2FA,No
SC-1371,Healthcare,CEO Fraud,Audio,316552,3.7,Human Review,Russia,Fake Invoice,HR,2FA,Lawsuit Pending
SC-1372,Retail,Fake Video Call,Video,52152,21.5,Internal Audit,China,Fake Credentials,IT Admin,Training,Yes (Arrest)
SC-1373,Banking,Fake Video Call,Hybrid,470210,3.5,Human Review,China,Urgent Wire Request,Customer Support,Training,Lawsuit Pending
SC-1374,Healthcare,Voice Cloning,Audio,203324,20.9,AI Scanner,North Korea,Fake Invoice,IT Admin,Training,Lawsuit Pending
SC-1375,Tech,Fake Video Call,Video,381552,13.7,Human Review,Iran,Fake Invoice,CFO,None,Yes (Arrest)
SC-1376,Banking,Synthetic ID,Audio,168074,16.3,Internal Audit,China,Fake Credentials,IT Admin,AI Monitoring,No
SC-1377,Retail,Voice Cloning,Image,426619,6.9,Human Review,Iran,Urgent Wire Request,CFO,AI Monitoring,Lawsuit Pending
SC-1378,Banking,Synthetic ID,Audio,232755,22.8,Human Review,China,Fake Credentials,IT Admin,Training,Yes (Arrest)
SC-1379,Tech,Synthetic ID,Video,103841,12.8,Victim Report,China,Fake Invoice,HR,None,Yes (Arrest)
SC-1380,Healthcare,Fake Video Call,Audio,271588,23.0,Human Review,North Korea,Urgent Wire Request,CFO,None,No
SC-1381,Retail,Synthetic ID,Video,247833,6.1,AI Scanner,North Korea,Fake Credentials,CFO,Training,Lawsuit Pending
SC-1382,Healthcare,Fake Video Call,Video,241262,9.9,Human Review,China,Fake Invoice,HR,None,Lawsuit Pending
SC-1383,Healthcare,Fake Video Call,Video,277641,15.5,AI Scanner,North Korea,Urgent Wire Request,CFO,None,No
SC-1384,Healthcare,Synthetic ID,Hybrid,358832,13.3,Internal Audit,Iran,Phishing Link,HR,Training,Yes (Arrest)
SC-1385,Banking,Voice Cloning,Image,416993,19.9,Internal Audit,North Korea,Urgent Wire Request,Customer Support,2FA,No
SC-1386,Banking,Voice Cloning,Video,203613,11.0,Victim Report,North Korea,Urgent Wire Request,HR,Training,No
SC-1387,Healthcare,CEO Fraud,Audio,314713,0.4,Internal Audit,Russia,Phishing Link,CFO,2FA,Yes (Arrest)
SC-1388,Retail,Voice Cloning,Audio,494466,7.7,Victim Report,Russia,Phishing Link,Customer Support,AI Monitoring,Lawsuit Pending
SC-1389,Retail,CEO Fraud,Video,170306,22.3,Human Review,Russia,Fake Credentials,HR,None,No
SC-1390,Government,Voice Cloning,Audio,186753,9.8,Human Review,North Korea,Urgent Wire Request,IT Admin,AI Monitoring,Yes (Arrest)
SC-1391,Retail,Voice Cloning,Video,236838,18.1,Human Review,Russia,Fake Credentials,HR,None,Yes (Arrest)
SC-1392,Retail,Synthetic ID,Video,454935,3.4,Victim Report,Nigeria,Fake Credentials,Customer Support,Training,Lawsuit Pending
SC-1393,Retail,Fake Video Call,Hybrid,399122,3.4,AI Scanner,Nigeria,Phishing Link,CFO,2FA,Lawsuit Pending
SC-1394,Banking,Fake Video Call,Video,124499,10.8,Internal Audit,North Korea,Phishing Link,IT Admin,None,No
SC-1395,Government,Synthetic ID,Video,189362,23.4,Victim Report,Iran,Fake Credentials,HR,None,Lawsuit Pending
SC-1396,Government,CEO Fraud,Hybrid,146219,14.6,AI Scanner,Nigeria,Phishing Link,Customer Support,Training,Lawsuit Pending
SC-1397,Healthcare,CEO Fraud,Hybrid,284987,21.1,Victim Report,China,Fake Credentials,HR,None,Lawsuit Pending
SC-1398,Retail,CEO Fraud,Audio,369652,4.6,AI Scanner,China,Phishing Link,HR,2FA,Yes (Arrest)
SC-1399,Tech,Voice Cloning,Image,50214,7.4,Victim Report,North Korea,Phishing Link,CFO,Training,Lawsuit Pending
SC-1400,Banking,Synthetic ID,Audio,374126,14.1,Internal Audit,Nigeria,Fake Credentials,Customer Support,Training,Yes (Arrest)
SC-1401,Banking,Fake Video Call,Audio,250835,0.4,Internal Audit,China,Urgent Wire Request,HR,None,Yes (Arrest)
SC-1402,Banking,Voice Cloning,Image,19398,23.4,AI Scanner,Russia,Fake Credentials,Customer Support,2FA,Yes (Arrest)
SC-1403,Healthcare,Voice Cloning,Hybrid,96393,20.4,AI Scanner,China,Fake Credentials,Customer Support,Training,Yes (Arrest)
SC-1404,Retail,Synthetic ID,Image,172338,15.8,Victim Report,China,Phishing Link,Customer Support,None,Lawsuit Pending
SC-1405,Healthcare,CEO Fraud,Image,292329,6.9,Victim Report,Nigeria,Urgent Wire Request,HR,Training,Yes (Arrest)
SC-1406,Government,Synthetic ID,Video,72357,2.8,Victim Report,Russia,Fake Credentials,Customer Support,2FA,Lawsuit Pending
SC-1407,Healthcare,CEO Fraud,Audio,360876,21.5,AI Scanner,China,Fake Invoice,CFO,2FA,No
SC-1408,Banking,Voice Cloning,Image,479208,5.8,Internal Audit,Iran,Urgent Wire Request,IT Admin,2FA,No
SC-1409,Government,Voice Cloning,Audio,219792,15.0,Internal Audit,China,Phishing Link,HR,None,Yes (Arrest)
SC-1410,Healthcare,Voice Cloning,Hybrid,267884,13.1,Victim Report,Russia,Fake Credentials,Customer Support,AI Monitoring,Lawsuit Pending
SC-1411,Government,Voice Cloning,Audio,299724,19.1,AI Scanner,Iran,Urgent Wire Request,Customer Support,2FA,Yes (Arrest)
SC-1412,Government,Synthetic ID,Image,200405,17.6,Human Review,Nigeria,Urgent Wire Request,IT Admin,None,Yes (Arrest)
SC-1413,Government,Synthetic ID,Image,117688,17.2,AI Scanner,Iran,Fake Credentials,HR,2FA,No
SC-1414,Banking,Fake Video Call,Audio,362368,1.3,AI Scanner,Russia,Phishing Link,HR,Training,Lawsuit Pending
SC-1415,Tech,Fake Video Call,Image,155572,10.7,Internal Audit,Iran,Fake Credentials,CFO,None,Lawsuit Pending
SC-1416,Government,CEO Fraud,Audio,96360,11.3,Victim Report,Nigeria,Fake Credentials,HR,AI Monitoring,Lawsuit Pending
SC-1417,Banking,CEO Fraud,Hybrid,419690,13.2,Human Review,China,Fake Invoice,CFO,Training,Yes (Arrest)
SC-1418,Tech,Synthetic ID,Video,110379,23.1,Victim Report,North Korea,Fake Invoice,CFO,Training,Yes (Arrest)
SC-1419,Government,Voice Cloning,Audio,456763,11.2,Internal Audit,Nigeria,Fake Invoice,IT Admin,2FA,Yes (Arrest)
SC-1420,Retail,Voice Cloning,Image,116718,22.3,Internal Audit,China,Fake Credentials,IT Admin,2FA,Yes (Arrest)
SC-1421,Healthcare,Voice Cloning,Video,92065,4.2,Internal Audit,China,Fake Invoice,IT Admin,None,No
SC-1422,Government,Fake Video Call,Hybrid,52137,10.5,Victim Report,Iran,Phishing Link,HR,None,Lawsuit Pending
SC-1423,Retail,Fake Video Call,Image,38438,17.3,AI Scanner,Russia,Phishing Link,CFO,None,Lawsuit Pending
SC-1424,Tech,Voice Cloning,Image,343003,23.1,Human Review,Nigeria,Urgent Wire Request,IT Admin,AI Monitoring,Lawsuit Pending
SC-1425,Healthcare,Fake Video Call,Video,214116,6.5,AI Scanner,Iran,Phishing Link,IT Admin,Training,Yes (Arrest)
SC-1426,Government,Synthetic ID,Video,279119,1.2,Victim Report,North Korea,Urgent Wire Request,Customer Support,2FA,Yes (Arrest)
SC-1427,Government,Fake Video Call,Image,19097,15.0,Victim Report,Russia,Phishing Link,IT Admin,AI Monitoring,Lawsuit Pending
SC-1428,Retail,Fake Video Call,Audio,236589,10.6,Victim Report,China,Phishing Link,Customer Support,Training,Lawsuit Pending
SC-1429,Retail,Voice Cloning,Video,237321,6.8,Internal Audit,Iran,Fake Invoice,Customer Support,2FA,Yes (Arrest)
SC-1430,Healthcare,Fake Video Call,Image,491962,14.4,Victim Report,China,Fake Invoice,CFO,2FA,No
SC-1431,Government,Fake Video Call,Hybrid,48112,3.5,Internal Audit,Nigeria,Urgent Wire Request,IT Admin,AI Monitoring,Yes (Arrest)
